czone,msa,score,rank,housing_share,hh_income,amenity_income_price,amenity_value
34701,"Honolulu, HI Metropolitan Statistical Area",0.677732537,1,0.272532279,128764.4463,0.184703993,23783.31
1203,"Asheville, NC Metropolitan Statistical Area",0.57510846,2,0.227966165,87829.82768,0.13110527,11514.95
1203,"Brevard, NC Micropolitan Statistical Area",0.57510846,2,0.227966165,87829.82768,0.13110527,11514.95
38000,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",0.519512316,3,0.284143991,132844.7769,0.147616303,19610.05
35901,"Cedar City, UT Micropolitan Statistical Area",0.501578336,4,0.230086592,98940.32329,0.11540645,11418.35
35901,"St. George, UT Metropolitan Statistical Area",0.501578336,4,0.230086592,98940.32329,0.11540645,11418.35
39203,"Bend, OR Metropolitan Statistical Area",0.49437274,5,0.253391997,109854.3599,0.125270096,13761.47
39203,"Prineville, OR Micropolitan Statistical Area",0.49437274,5,0.253391997,109854.3599,0.125270096,13761.47
34802,"Espanola, NM Micropolitan Statistical Area",0.477141827,6,0.234199076,98276.54594,0.111746175,10982.03
34802,"Los Alamos, NM Micropolitan Statistical Area",0.477141827,6,0.234199076,98276.54594,0.111746175,10982.03
34802,"Santa Fe, NM Metropolitan Statistical Area",0.477141827,6,0.234199076,98276.54594,0.111746175,10982.03
34802,"Taos, NM Micropolitan Statistical Area",0.477141827,6,0.234199076,98276.54594,0.111746175,10982.03
38200,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",0.472368019,7,0.274078697,125181.3526,0.129466011,16206.73
38200,"Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area",0.472368019,7,0.274078697,125181.3526,0.129466011,16206.73
38300,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",0.460500766,8,0.28237005,124454.1297,0.130031624,16182.97
38300,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",0.460500766,8,0.28237005,124454.1297,0.130031624,16182.97
